ID	Cluster	StopNo	FirstName	LastName	Guest	New	StudioName	Media1	Media2	OpenDays	Wheelchair	Offering
1	Catoctin Region	9	Maureen	Alvarez	Guest		Chunk of Happiness	Ceramics		Friday, Saturday, and Sunday	No	pottery-bowls, plates, vases, mugs, serving pieces, planters, mini collectibles, necklaces and earrings
2	Loudoun Valley	20	Amy	Berringer	Artist in Studio	New	Blue Poppy Art Studio	Pastels		Friday, Saturday, and Sunday	Yes	Pastel Paintings
3	Loudoun Valley	25	Anne Marshall	Block	Franklin Park Performing & Visual Arts Center - Guest			Painting		Friday, Saturday, and Sunday	Yes	Original and signed oil paintings which are suitably framed.  I also have reproductions of my artwork in matted frames, coasters and coffee mugs.
4	Waterford/Leesburg	17	Richard	Busch	Artist in Studio		Glenfiddich Farm Pottery	Ceramics		Saturday and Sunday Only	Yes	plates, vases, bowls
5	Catoctin Region	4	Deirdre	Chipouras	Guest	New	Momma Like Studio	Fiber Art		Friday, Saturday, and Sunday		Wall art, Pillows, small furnishings, tote bags
6	Catoctin Region	8	Carol	Clay-Ward	Host		Clayward Studio	Painting	Ceramics	Friday, Saturday, and Sunday	No	Oil paintings, Mixed Media, prints and cards; Ceramics - functional, decorative and raku: Jewelry - Horse Hair, Acrylic pour, necklaces and earrings; Sculptural- Ceramic and Metal
7	Loudoun Valley	19	Ed and Claire	Cutshall	Host		Hunt Country Jewelers	Jewelry	Lapidary	Friday, Saturday, and Sunday	Yes	Finished rings, pendants, earrings, and bracelets in 18K gold and platinum, with gemstones and diamonds. Loose precision cut gemstones.
8	Loudoun Valley	22	Geoff	DeMark	Artist in Studio		Studio at 511	Ceramics		Friday, Saturday, and Sunday	Yes	Pottery and ceramic sculptures
9	Loudoun Valley	22	Lori	DeMark	Artist in Studio		DeMarkwear	Jewelry	Ceramics	Friday, Saturday, and Sunday	Yes	Pendants, necklaces, and earrings.
10	Snickers Gap	28	Elizabeth	Dickson	Artist in Studio	New		Fiber Art		Friday, Saturday, and Sunday	No	scarfs, tea towels, rugs, placemats, inkle weave utility items
11	Snickers Gap	26A	Christine	Dixon	Round Hill Arts Center - Guest			Painting		Friday, Saturday, and Sunday	Yes	Oil and watercolor painting as well as drawings
12	Loudoun Valley	25	Christine	Eddy	Franklin Park Performing & Visual Arts Center - Guest		OctoberGloryStudio	Jewelry		Friday, Saturday, and Sunday	Yes	Necklaces, rings, hair clips, cufflinks, earrings, ornaments
